ir1,ir2,ir1filt,ir2filt
93345,83585,-43,113
93291,83590,0,124
93266,83564,46,136
93218,83572,91,147
93187,83552,135,156
93188,83546,176,163
93199,83545,212,168
93202,83556,240,171
93215,83561,259,171
93246,83566,269,167
93230,83574,270,160
93268,83594,264,150
93266,83601,252,138
93282,83600,234,123
93281,83612,214,107
93299,83607,191,91
93286,83595,168,75
93298,83606,146,60
93305,83611,126,47
93286,83615,107,35
93295,83622,91,24
93296,83624,77,14
93272,83628,67,5
93284,83624,59,-3
93270,83608,53,-11
93267,83600,50,-16
93239,83611,49,-20
93233,83593,50,-22
93218,83581,52,-23
93211,83566,57,-23
93198,83581,62,-21
93203,83585,67,-18
93184,83592,73,-17
93173,83572,77,-16
93188,83556,82,-16
93191,83563,84,-15
93191,83565,84,-14
93209,83573,82,-14
93203,83565,78,-15
93210,83573,71,-17
93194,83546,64,-19
93202,83574,56,-21
93208,83568,48,-23
93201,83564,39,-26
93186,83562,32,-29
93218,83560,25,-32
93188,83546,18,-34
93208,83559,12,-36
93195,83565,7,-38
93220,83570,2,-40
93201,83568,-3,-42
93213,83575,-8,-45
93201,83568,-13,-49
93207,83577,-17,-52
93192,83565,-21,-55
93194,83577,-23,-58
93184,83569,-25,-61
93180,83586,-26,-63
93205,83597,-26,-66
93199,83585,-27,-69
93210,83593,-29,-72
93216,83593,-32,-75
93199,83596,-35,-78
93209,83590,-39,-80
93202,83582,-42,-82
93191,83578,-45,-82
93145,83560,-46,-81
93121,83522,-44,-78
93042,83491,-37,-72
93005,83487,-24,-61
92973,83481,-5,-49
92922,83461,18,-35
92896,83450,45,-21
92878,83441,74,-7
92882,83436,103,5
92863,83445,128,17
92866,83438,150,26
92880,83434,166,33
92870,83446,176,38
92892,83472,180,39
92901,83471,178,37
92909,83485,171,32
92929,83491,159,25
92918,83497,143,15
92939,83504,124,5
92942,83508,105,-6
92980,83495,84,-16
92998,83488,62,-26
92980,83500,39,-33
93010,83499,16,-39
93020,83500,-4,-44
93022,83506,-24,-47
93021,83504,-43,-50
93027,83502,-59,-52
93041,83491,-73,-53
93011,83508,-84,-53
93034,83494,-93,-53
92998,83500,-99,-52
93009,83491,-102,-51
92993,83494,-102,-49
92986,83491,-100,-48
92966,83495,-96,-46
92991,83493,-90,-44
92962,83502,-84,-43
92959,83494,-78,-42
92964,83476,-71,-42
92978,83492,-66,-40
92985,83494,-62,-39
92999,83505,-60,-38
93017,83476,-62,-38
93024,83493,-65,-38
93029,83501,-72,-37
93035,83494,-79,-37
93047,83488,-87,-37
93034,83469,-96,-37
93047,83495,-104,-36
93045,83478,-111,-34
93033,83494,-116,-33
93065,83484,-121,-32
93048,83469,-124,-31
93066,83484,-127,-29
93064,83487,-128,-28
93080,83497,-130,-27
93100,83484,-132,-27
93080,83490,-134,-27
93086,83490,-136,-28
93116,83485,-138,-28
93098,83482,-139,-28
93111,83479,-141,-28
93133,83480,-142,-27
93143,83490,-144,-26
93148,83493,-146,-25
93124,83502,-149,-25
93144,83482,-150,-26
93132,83511,-150,-27
93151,83498,-149,-28
93171,83499,-148,-29
93176,83493,-147,-30
93171,83486,-147,-30
93154,83480,-146,-30
93134,83468,-143,-28
93087,83445,-138,-25
93073,83423,-127,-19
93023,83412,-113,-11
92997,83403,-94,-1
92971,83362,-70,9
92960,83366,-45,22
92916,83341,-17,36
92905,83375,9,49
92873,83320,37,61
92886,83348,64,71
92888,83336,87,80
92893,83362,105,86
92906,83347,119,89
92936,83366,126,89
92935,83358,127,86
92914,83380,124,82
92949,83368,117,75
92960,83385,108,67
93001,83374,95,58
93012,83391,79,50
93046,83365,60,41
93052,83379,40,33
93070,83393,18,27
93061,83392,-2,20
93061,83392,-21,14
93055,83401,-37,8
93071,83393,-49,3
93061,83404,-58,-1
93057,83403,-64,-6
93119,83402,-68,-9
93100,83402,-72,-13
93111,83418,-75,-16
93081,83427,-78,-19
93076,83424,-79,-23
93067,83385,-77,-26
93058,83394,-72,-28
93061,83372,-66,-27
93092,83363,-59,-24
92664,83142,-47,-16
92666,83142,-17,1
92684,83156,27,29
92692,83159,79,59
92696,83180,129,88
92705,83180,174,112
92733,83196,210,131
92743,83192,236,143
92757,83211,250,148
92783,83208,254,148
92808,83214,248,143
92800,83237,235,133
92826,83238,215,121
92834,83228,191,106
92838,83253,166,90
92848,83245,139,74
92875,83260,113,58
92857,83267,88,43
92871,83277,66,28
92864,83294,46,14
92871,83283,29,1
92871,83273,15,-10
92881,83275,3,-20
92868,83273,-5,-27
92873,83268,-11,-32
92871,83252,-16,-36
92853,83252,-19,-36
92835,83250,-19,-35
92841,83249,-17,-33
92830,83251,-14,-31
92859,83273,-10,-29
92848,83264,-8,-28
92872,83287,-6,-28
92874,83276,-7,-30
92884,83290,-9,-33
92884,83283,-13,-37
92903,83286,-19,-42
92895,83265,-25,-45
92899,83274,-33,-48
92906,83274,-39,-50
92922,83287,-46,-51
92915,83283,-53,-53
92938,83312,-60,-55
92930,83300,-67,-57
92955,83300,-73,-60
92955,83297,-79,-63
92950,83300,-85,-66
92952,83285,-91,-67
92966,83301,-95,-68
92968,83293,-98,-68
92957,83299,-101,-67
92990,83292,-102,-67
92970,83297,-104,-66
92979,83296,-105,-64
93005,83304,-106,-63
92977,83300,-106,-62
92971,83300,-106,-61
92982,83301,-105,-60
93009,83307,-103,-60
92996,83293,-101,-59
93019,83323,-100,-58
93011,83294,-100,-58
93012,83326,-100,-58
93012,83302,-99,-58
92993,83307,-98,-57
92982,83287,-96,-56
92948,83271,-90,-54
92918,83269,-82,-50
92874,83244,-70,-44
92833,83214,-52,-36
92772,83213,-30,-25
92735,83164,-3,-13
92720,83152,27,1
92689,83140,60,17
92678,83143,92,34
92641,83135,123,49
92655,83152,151,62
92630,83146,175,73
92672,83152,193,79
92677,83172,205,82
92703,83180,210,82
92723,83196,207,77
92754,83226,197,69
92745,83232,181,58
92766,83231,161,44
92754,83250,139,29
92754,83239,118,14
92779,83238,97,0
92797,83265,77,-12
92809,83269,57,-23
92843,83265,38,-34
92859,83257,19,-42
92873,83284,0,-49
92891,83265,-19,-54
92871,83281,-36,-58
92868,83262,-52,-61
92855,83273,-63,-62
92859,83261,-71,-61
92856,83278,-75,-60
92846,83255,-77,-58
92869,83263,-76,-55
92851,83277,-74,-52
92872,83272,-71,-50
92847,83261,-68,-47
92852,83259,-64,-44
92849,83256,-60,-41
92856,83271,-56,-38
92820,83275,-52,-36
92836,83260,-47,-34
92846,83279,-42,-33
92867,83274,-39,-32
92896,83267,-37,-32
92886,83276,-39,-32
92916,83275,-43,-32
92904,83284,-49,-32
92918,83281,-56,-32
92920,83288,-63,-32
92933,83279,-70,-33
92936,83287,-76,-34
92954,83283,-83,-34
92949,83281,-89,-34
92950,83284,-94,-33
92947,83275,-98,-32
92972,83284,-101,-31
92964,83288,-103,-29
92974,83301,-104,-28
93005,83276,-105,-27
93014,83290,-107,-26
93007,83264,-109,-25
93028,83281,-112,-23
93032,83257,-115,-20
93011,83278,-117,-16
93008,83274,-118,-13
92992,83287,-116,-10
