ir1,ir2
111503,102797
111512,102760
111541,102735
111568,102757
111607,102787
111632,102864
111668,102884
111707,102905
111729,102876
111759,102825
111785,102693
111818,102564
111834,102421
111837,102317
111845,102233
111857,102180
111873,102111
111924,102038
111934,101936
111990,101880
112014,101795
112079,101811
112113,101780
112110,101806
112131,101826
112113,101868
112082,101876
111997,101878
111894,101865
111753,101860
111577,101841
111380,101816
111137,101830
110952,101864
110725,101866
110579,101927
110427,101918
110377,101979
110320,101993
110335,102017
110332,101995
110331,102010
110330,101991
110335,102014
110339,102012
110346,102041
110363,102019
110372,102029
110408,102008
110466,102024
110505,102051
110572,102125
110632,102180
110677,102224
110728,102242
110772,102240
110794,102235
110794,102179
110804,102117
110819,102104
110810,102131
110809,102206
110814,102265
110816,102312
110810,102351
110811,102385
110805,102351
110826,102332
110838,102279
110864,102253
110901,102270
110909,102297
110898,102349
110940,102374
110975,102422
111003,102390
111062,102367
111134,102322
111192,102309
111251,102337
111304,102413
111317,102488
111313,102530
111320,102562
111332,102553
111365,102529
111347,102538
111407,102518
111459,102496
111511,102434
111532,102370
111571,102263
111574,102141
111599,101951
111607,101781
111647,101583
111683,101499
111718,101453
111752,101436
111820,101420
111854,101421
111855,101421
111897,101419
111886,101439
111905,101468
111915,101465
111904,101466
111881,101483
111784,101500
111647,101464
111462,101500
111261,101507
111041,101529
110799,101603
110629,101652
110492,101655
110395,101689
110281,101696
110251,101687
110185,101678
110167,101663
110152,101632
110127,101589
110159,101557
110171,101505
110175,101522
110211,101562
110214,101602
110243,101662
110276,101701
110313,101714
110369,101731
110432,101700
110463,101665
110528,101653
110559,101637
110591,101639
110619,101717
110655,101783
110674,101830
110670,101888
110700,101914
110718,101917
110682,101894
110711,101890
110717,101866
110733,101890
110709,101898
110733,101921
110744,101983
110776,102014
110806,102040
110833,102062
110896,102062
110934,102078
110993,102051
111032,101982
111090,101965
111124,102008
111151,102045
111181,102072
111217,102081
111237,102063
111263,102072
111304,102044
111350,102039
111385,102036
111396,102033
111418,102074
111420,102100
111454,102116
111472,102104
111495,102049
111500,101983
111519,101837
111527,101710
111567,101601
111577,101459
111602,101358
111595,101260
111628,101200
111646,101170
111663,101181
111689,101168
111713,101175
111754,101165
111778,101133
111772,101061
111788,101024
111732,100977
111701,100972
111569,101012
111441,101009
111262,101026
111056,101058
110817,101108
110587,101147
110382,101213
110210,101248
110086,101265
109965,101275
109900,101260
109840,101210
109808,101130
109759,101117
109760,101095
109772,101119
109769,101132
109780,101082
109787,101027
109795,101009
109795,101009
109798,101037
109817,101046
109807,101057
109852,101076
109885,101084
109912,101102
109952,101113
109975,101140
110009,101162
110036,101154
110057,101149
110057,101152
110071,101197
110078,101315
110057,101427
110062,101529
110045,101592
110038,101588
110031,101569
110049,101546
110060,101520
110087,101523
110106,101509
110086,101523
110114,101570
110169,101576
110198,101578
110220,101559
110264,101512
110285,101459
110290,101467
110342,101537
110365,101587
110400,101619
110404,101641
110401,101646
110443,101656
110467,101620
110495,101565
110519,101544
110537,101543
110572,101597
110609,101652
110631,101742
110670,101719
110690,101690
110709,101564
110740,101386
110779,101197
110834,100982
110876,100860
110881,100820
110923,100795
110952,100834
110957,100888
111010,100898
111002,100893
111066,100879
111095,100847
111159,100786
111176,100732
111218,100699
111194,100750
111155,100775
111051,100791
110873,100845
110644,100934
110446,101015
110209,101102
110017,101140
109850,101196
109730,101184
109587,101194
109512,101176
109428,101153
109394,101091
109335,101067
109339,101000
109353,101010
109393,100986
109445,101019
109491,101014
109502,101063
109510,101060
109519,101054
109529,101033
109542,101034
109548,100997
109594,101009
109646,101006
109696,101000
109700,101028
109730,101082
109755,101114
109769,101130
109776,101121
109773,101103
109789,101073
110644,101063
109784,101085
109806,101103
109803,101136
109811,101189
109793,101216
109815,101267
109812,101300
109826,101260
109849,101223
109908,101180
109930,101129
109975,101168
110023,101195
110044,101251
110080,101274
110110,101304
110131,101304
110156,101294
110181,101230
110223,101168
110249,101119
110284,101111
110304,101124
110347,101198
110350,101207
110397,101175
110396,101105
110413,101026
110427,100900
110427,100789
110456,100638
110494,100535
110534,100451
110565,100372
110578,100324
110604,100306
110628,100294
110653,100279
110680,100250
110723,100242
110735,100266
110775,100316
110797,100358
110829,100377
110848,100366
110835,100361
110725,100323
110602,100305
110414,100331
110212,100370
109992,100417
109780,100422
109609,100436
109463,100454
109303,100442
109237,100444
109158,100450
109124,100440
109071,100438
109099,100460
109113,100463
109153,100483
109204,100499
109196,100532
109191,100516
109212,100518
109242,100526
109260,100540
109309,100586
109329,100620
109380,100657
109423,100682
109454,100645
109521,100630
109547,100629
109589,100633
109603,100670
109627,100717
109631,100810
109634,100868
109639,100882
109610,100893
109624,100886
109582,100882
109587,100860
109586,100858
109614,100857
109629,100881
109660,100916
109702,100994
109719,101032
109750,101070
109738,101079
109781,101098
109795,101089
109863,101136
109920,101243
109957,101312
110036,101329
110045,101348
110078,101344
110072,101385
110116,101397
110122,101431
110132,101444
110178,101462
110199,101477
110241,101508
110296,101496
110332,101431
110355,101349
110360,101238
110382,101075
110397,100978
110440,100860
110418,100787
110460,100699
110475,100657
110504,100593
110501,100573
110521,100531
110547,100521
110579,100493
110636,100447
110669,100411
110708,100377
110729,100351
110724,100339
110730,100325
110696,100370
110621,100366
110472,100355
110292,100356
110070,100394
109878,100417
109666,100443
109481,100430
109306,100493
109194,100534
109086,100551
109027,100564
108996,100566
108996,100529
108987,100496
109011,100428
109011,100369
109085,100293
109105,100245
109121,100247
109163,100301
109200,100358
109207,100451
109258,100504
109305,100562
109365,100596
109410,100601
109488,100605
109535,100601
109595,100570
109603,100552
109642,100533
109625,100554
109635,100548
109619,100562
109612,100566
109620,100578
109618,100584
109620,100624
109630,100655
109675,100694
109656,100715
109710,100750
109710,100756
109728,100770
109755,100733
109763,100701
109781,100694
109794,100727
109814,100754
109837,100810
109854,100849
109892,100885
109919,100899
109967,100925
109979,100886
110011,100842
110027,100813
110039,100746
110062,100707
110081,100659
110078,100665
110106,100657
110134,100642
110167,100584
110168,100474
110206,100373
110197,100247
110212,100141
110206,100053
110231,99996
110234,99946
110266,99913
110274,99900
110293,99934
110302,99964
110336,100007
110349,100039
110390,100094
